BuildingType,PrimaryPropertyType,YearBuilt,Neighborhood,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore_imputer,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,LPUT,SLPUT,ENERGYSTARScore
NonResidential,Residence Hall,1981,magnolia / queen anne,4,2211,21302,55.666666666666664,83.5,2.12,Électricité & GazNaturel,Medium,Medium,
NonResidential,Self-Storage Facility,1994,delridge,3,0,66610,74.33333333333333,11.10000038,0.28,Électricité & GazNaturel,Low,Low,
NonResidential,Other,1950,greater duwamish,1,0,36000,58.0,108.0,1.63,Électricité,Medium,Medium,
NonResidential,K-12 School,1938,northwest,2,0,23222,62.0,88.80000305,2.37,GazNaturel,Low,Low,62.0
NonResidential,Mixed Use Property,1924,east,2,0,24476,41.0,117.1999969,3.75,GazNaturel & Électricité,Medium,Medium,
NonResidential,Retail Store,1910,east,2,0,24750,95.33333333333333,40.20000076,1.13,GazNaturel & Électricité,Medium,Medium,
NonResidential,K-12 School,1904,east,3,0,60000,52.0,80.5,2.03,GazNaturel & Électricité,Low,Low,52.0
NonResidential,Other,1954,east,2,0,46560,95.33333333333333,15.80000019,0.37,Électricité & GazNaturel,Medium,Medium,
NonResidential,Other,1980,magnolia / queen anne,3,0,30408,61.0,58.79999924,0.33,Électricité,Medium,Medium,61.0
NonResidential,Small- and Mid-Sized Office,1920,magnolia / queen anne,3,0,30109,89.0,56.0,1.13,Électricité & GazNaturel,Medium,Medium,89.0
NonResidential,Small- and Mid-Sized Office,1960,magnolia / queen anne,2,0,25481,92.0,41.29999924,1.51,GazNaturel,Medium,Medium,92.0
NonResidential,Senior Care Community,1967,southeast,1,0,141297,76.0,144.1999969,5.08,GazNaturel & Électricité,High,High,76.0
NonResidential,Small- and Mid-Sized Office,1912,lake union,2,0,27788,73.0,56.79999924,1.3,Électricité,Medium,Medium,73.0
NonResidential,Hotel,1990,northwest,4,8584,33120,73.0,47.29999924,1.4,GazNaturel & Électricité,Medium,Medium,73.0
NonResidential,Warehouse,1941,greater duwamish,2,0,22324,53.0,34.40000153,1.0,GazNaturel & Électricité,Low,Low,53.0
NonResidential,Other,1946,greater duwamish,2,0,31360,55.666666666666664,58.90000153,1.26,Électricité & GazNaturel,Medium,Medium,
NonResidential,Mixed Use Property,1947,greater duwamish,1,0,30496,63.666666666666664,68.0,1.51,Électricité & GazNaturel,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1922,east,3,0,27600,84.0,49.40000153,0.46,Électricité,Medium,Medium,84.0
NonResidential,Senior Care Community,1961,northwest,2,0,55974,98.0,114.5,3.63,GazNaturel & Électricité,High,High,98.0
NonResidential,Senior Care Community,1954,north,1,0,22583,95.0,94.0,3.14,GazNaturel & Électricité,High,High,95.0
NonResidential,Small- and Mid-Sized Office,1997,lake union,3,7358,24328,35.0,72.80000305,0.51,Électricité,Medium,Medium,35.0
NonResidential,Small- and Mid-Sized Office,1981,lake union,3,6034,20660,92.0,29.5,0.19,Électricité,Medium,Medium,92.0
NonResidential,Warehouse,1972,northwest,1,0,29400,69.0,9.100000381,0.05,Électricité,Low,Low,69.0
NonResidential,Hotel,1992,greater duwamish,3,0,22452,85.0,56.5,1.87,GazNaturel & Électricité,Medium,Medium,85.0
NonResidential,Other,1912,northeast,2,0,25767,22.0,92.90000153,0.43,Électricité,Medium,Medium,22.0
NonResidential,Retail Store,1953,northeast,4,0,33910,75.0,65.59999847,1.13,Électricité & GazNaturel,Medium,Medium,75.0
NonResidential,Worship Facility,1927,northeast,2,0,78401,58.666666666666664,36.29999924,1.11,GazNaturel & Électricité,Low,Low,
NonResidential,Warehouse,1979,lake union,2,0,78716,38.0,54.79999924,0.61,Électricité,Low,Low,38.0
NonResidential,K-12 School,1910,lake union,2,0,33300,92.0,61.90000153,2.08,GazNaturel,Low,Low,92.0
NonResidential,Supermarket / Grocery Store,1957,lake union,1,0,28808,29.0,303.2000122,7.87,Électricité & GazNaturel,High,High,29.0
NonResidential,Small- and Mid-Sized Office,1957,northeast,1,7004,20962,58.0,56.40000153,0.27,Électricité,Medium,Medium,58.0
NonResidential,Supermarket / Grocery Store,1950,northeast,1,0,26226,37.0,301.8999939,5.96,Électricité,High,High,37.0
NonResidential,Mixed Use Property,1976,northeast,2,15755,19193,17.0,63.79999924,0.23,Électricité,Medium,Medium,17.0
NonResidential,Small- and Mid-Sized Office,1998,lake union,3,9999,27640,3.6666666666666665,221.3999939,1.15,Électricité,Medium,Medium,
NonResidential,Other,1900,downtown,1,0,21420,98.33333333333333,41.79999924,0.45,Électricité,High,High,
NonResidential,Small- and Mid-Sized Office,1900,downtown,1,0,20880,94.0,32.70000076,0.23,Électricité,Medium,Medium,94.0
NonResidential,Mixed Use Property,1966,downtown,3,0,26000,68.33333333333333,40.90000153,0.72,Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1900,downtown,3,0,38675,52.666666666666664,119.4000015,1.14,Électricité & GazNaturel,Medium,Medium,
Nonresidential COS,Small- and Mid-Sized Office,1929,downtown,4,0,49951,57.0,101.4000015,3.71,GazNaturel & Électricité,Medium,Medium,
NonResidential,Medical Office,2010,southeast,2,0,25880,8.0,75.59999847,0.77,Électricité,Medium,Medium,8.0
